Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
775,1989,Female,Wholesale Trade,"Grocery, Liquor and Tobacco Product Wholesaling",Clerical and administrative ,Other Clerical and Administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Regional,100%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
776,1986,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
777,1968,Male,Accommodation and Food Services,Food and Beverage Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
778,1987,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
779,1981,Female,Other Services,Personal and Other Services,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,50%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
780,1966,Male,Administrative and Support Services,"Building Cleaning, Pest Control and Other Support Services",Managers,Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
781,1971,Male,Manufacturing,Beverage and Tobacco Product Manufacturing,Sales ,Sales Support ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,,,
782,1978,Female,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
783,1983,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
784,1957,Male,Health Care and Social Assistance,Hospitals,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
785,1986,Male,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,30%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,,,,
786,1984,Female,Health Care and Social Assistance,Residential Care Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Single person,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,
787,1975,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",Between 1 and 4,No,Single person,More than 5 years,Metro,70%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
788,1961,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Single person,More than 5 years,Metro,60%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,
789,1962,Female,Accommodation and Food Services,Accommodation,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,,,,
790,1965,Male,Other Services,Personal and Other Services,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
791,1982,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
792,1964,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,40%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,
793,1981,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
794,1971,Male,Other Services,Personal and Other Services,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
795,1989,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Regional,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,,,,
796,1991,Female,Retail Trade,Food Retailing,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Regional,100%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,
797,1957,Male,Manufacturing,Petroleum and Coal Product Manufacturing,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
798,1974,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
799,1991,Female,Financial and Insurance Services,Finance,Managers,Specialist Managers,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,,,,
800,1995,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
801,1959,Female,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
802,1983,Male,Wholesale Trade,"Grocery, Liquor and Tobacco Product Wholesaling",Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,50%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
803,1988,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Regional,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
804,1993,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
805,1973,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
806,1975,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,Between 5 and 19,No,One  parent family with dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
807,1992,Female,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
808,1966,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Technicians and trades ,"Engineering, ICT and Science Technicians",More than 200,No,Couple with dependent children,More than 5 years,Metro,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
809,1983,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
810,1969,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
811,1985,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,Yes,Single person,Between 1 and 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
812,1982,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Education Professionals,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
813,1977,Female,Education and Training,Tertiary Education,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
814,1966,Female,Construction,Heavy and Civil Engineering Construction,Clerical and administrative ,Office Managers and Program Administrators,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,
815,1973,Male,Education and Training,Preschool and School Education,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,,,
816,1968,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
817,1964,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,One  parent family with dependent children,More than 5 years,Metro,20%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,
818,1965,Female,Education and Training,Preschool and School Education,Labourers,Other Labourers,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
819,1980,Female,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,
820,1965,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
821,1977,Female,Education and Training,"Adult, Community and Other Education",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,80%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
822,1978,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
823,1967,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,,,,
824,1975,Female,Other Services,Personal and Other Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro,90%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
825,1970,Female,Construction,Construction Services,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
826,1994,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,
827,1957,Male,Education and Training,"Adult, Community and Other Education",Managers,Specialist Managers,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,
828,1966,Male,Public Administration and Safety,Public Administration,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
829,1968,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Inquiry Clerks and Receptionists,More than 200,No,Couple with no dependent children,More than 5 years,Regional,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
830,1990,Female,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Assistants and Salespersons,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
831,1975,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,,,,
832,1970,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,One  parent family with dependent children,Between 1 and 5 years,Metro,50%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
833,1983,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
834,1967,Male,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Sales ,Sales Assistants and Salespersons,Between 20 and 199,No,Multiple family household,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
835,1977,Female,Education and Training,"Adult, Community and Other Education",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,80%,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,
836,1976,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,
837,1974,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,Yes,Group household,More than 5 years,Metro,30%,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,
838,1960,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
839,1987,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,Between 5 and 19,Yes,Single person,More than 5 years,Metro,10%,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,
840,1985,Male,Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Community and personal service ,Hospitality ,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,40%,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,,,
841,1977,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
842,1988,Male,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Multiple family household,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
843,1966,Male,Education and Training,Preschool and School Education,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,40%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,
844,1986,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Group household,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
845,1964,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 20 and 199,No,One  parent family with dependent children,Between 1 and 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
846,1976,Male,"Transport, Postal and Warehousing",Warehousing and Storage Services,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
847,1970,Male,Education and Training,Preschool and School Education,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Regional,20%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,
848,1983,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",I am the only employee,No,Couple with dependent children,More than 5 years,Metro,100%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
849,1960,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
850,1975,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
851,1982,Male,Retail Trade,Food Retailing,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
852,1977,Female,"Transport, Postal and Warehousing",Water Transport,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
853,1980,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
854,1958,Female,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
855,1963,Female,"Electricity, Gas, Water and Waste Services",Gas Supply,Clerical and administrative ,Clerical and Office Support ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Regional,100%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
856,1959,Female,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,Between 20 and 199,No,Single person,More than 5 years,Regional,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
857,1978,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
858,1972,Male,Information Media and Telecommunications,Telecommunications Services,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,20%,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,,,,
859,1957,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,10%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,,,,
860,1971,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,
861,1979,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
862,1994,Female,"Rental, Hiring and Real Estate Services",Rental and Hiring Services (except Real Estate),Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
863,1977,Female,Health Care and Social Assistance,Social Assistance Services,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,40%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
864,1966,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
865,1963,Male,Construction,Building Construction,Labourers,Construction and Mining Labourers,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,10%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,
866,1976,Female,Education and Training,"Adult, Community and Other Education",Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,Yes,Couple with dependent children,Between 1 and 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
867,1967,Male,Other Services,Personal and Other Services,Professionals,Education Professionals,I am the only employee,Yes,Couple with dependent children,More than 5 years,Regional,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
868,1967,Male,Accommodation and Food Services,Accommodation,Clerical and administrative ,General Clerical ,More than 200,No,Group household,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
869,1989,Female,Administrative and Support Services,Administrative Services,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
870,1981,Female,Manufacturing,Machinery and Equipment Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,60%,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,,,,
871,1975,Male,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,More than 200,No,Other one family household,Between 6 and 12 months,Metro,100%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
872,1980,Female,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
873,1983,Male,Other Services,Personal and Other Services,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,
874,1979,Male,Other Services,Personal and Other Services,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
875,1970,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Single person,Between 1 and 5 years,Regional,10%,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,,,,
876,1961,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,I am the only employee,Yes,Single person,More than 5 years,Regional,30%,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
877,1976,Male,Manufacturing,Primary Metal and Metal Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
878,1989,Male,"Transport, Postal and Warehousing",Air and Space Transport,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
